ID | CLASE | X (MAPA) | Y (MAPA)
----------------------------------------
1 | una botella | 0.188 | 0.514
2 | una botella | 0.181 | 0.508
3 | una botella | 0.18 | 0.508
4 | una botella | 0.188 | 0.514
5 | una botella | 0.181 | 0.508
6 | una botella | 0.188 | 0.514
7 | una botella | 0.181 | 0.508
8 | una botella | 0.188 | 0.514
9 | una botella | 0.181 | 0.508
10 | una botella | 0.188 | 0.514
11 | una botella | 0.181 | 0.507
12 | una botella | 0.188 | 0.514
13 | una botella | 0.188 | 0.514
14 | una botella | 0.188 | 0.514
15 | una botella | 0.181 | 0.508
16 | una botella | 0.181 | 0.508
17 | una botella | 0.181 | 0.508
18 | una botella | 0.188 | 0.514
19 | una botella | 0.18 | 0.508
20 | una botella | 0.188 | 0.514
21 | una botella | 0.18 | 0.508
22 | una botella | 0.188 | 0.514
23 | una botella | 0.188 | 0.514
24 | una botella | 0.188 | 0.514
25 | una botella | 0.189 | 0.514
26 | una botella | 0.18 | 0.496
27 | una botella | 0.179 | 0.492
28 | una botella | 0.163 | 0.515
29 | una botella | 0.201 | 0.423
30 | una planta | -0.264 | 1.166
31 | una planta | -0.264 | 1.166
32 | una planta | -0.264 | 1.166
33 | una planta | -0.264 | 1.166
34 | una planta | -0.264 | 1.166
35 | una planta | -0.266 | 1.156
36 | una planta | -0.265 | 1.156
37 | una planta | -0.265 | 1.156
38 | una planta | -0.266 | 1.156
